Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
GLOBAL,GL,USGS Global Seismic Hazard Map,USGS,Variable,Raster/Vector,Global,seismic_hazard_fetch,Public Domain,Static (2018),"Peak ground acceleration, return periods"
GLOBAL,GL,Global Earthquake Model (GEM),GEM Foundation,Variable,Raster/Vector,Global,gem_seismic_fetch (guidance),Free/Open,Continuous,"Comprehensive seismic hazard and risk"
GLOBAL,GL,Global Active Faults,GEM,Vector,Vector,Global,gem_faults_fetch (guidance),Free/Open,Continuous,"Active fault database"
GLOBAL,GL,SoilGrids v2.0,ISRIC,250,Raster,Global,soilgrids_fetch,CC-BY 4.0,Static (2020),"Soil properties: texture, organic carbon, pH, depth to bedrock"
GLOBAL,GL,Global Landslide Catalog,NASA,Point,Vector (point),Global,nasa_landslides_fetch (guidance),Public Domain,Continuous,"Historical landslide events from 2007+"
GLOBAL,GL,Global Landslide Hazard Map,NASA,1000,Raster,Global,global_landslide_hazard_fetch (guidance),Public Domain,Static,"Susceptibility model"
GLOBAL,GL,Global Volcano Database,Smithsonian,Point,Vector (point),Global,volcano_database_fetch (guidance),Public Domain,Continuous,"Holocene volcanoes"
GLOBAL,GL,PAGER Earthquake Impact,USGS,Variable,Dynamic,Global,pager_fetch (guidance),Public Domain,Real-time,"Population exposure to earthquakes"
USA,US,USGS Quaternary Faults,USGS,Vector,Vector,USA,quaternary_faults_fetch (guidance),Public Domain,Continuous,"Active faults in USA"
USA,US,National Seismic Hazard Model,USGS,Variable,Raster/Vector,USA,nshm_fetch (guidance),Public Domain,Updated ~6 years,"Official US seismic hazard maps"
USA,US,Landslide Inventory USA,USGS,Vector,Vector,USA (partial),usgs_landslides_fetch (guidance),Public Domain,Varies by state,"State-by-state landslide inventories"
USA,US,gSSURGO Soils,NRCS,10-30,Raster/Vector,USA,ssurgo_fetch (guidance),Public Domain,Annual,"High-resolution soil properties by county"
USA,US,STATSGO2 Soils,NRCS,Variable (1:250k),Vector,USA,statsgo_fetch (guidance),Public Domain,Static,"State-level soil geographic database"
USA,US,Karst Features USA,USGS,Vector,Vector,USA (karst regions),karst_fetch (guidance),Public Domain,Static,"Sinkholes, caves, karst terrain"
Canada,CA,National Earthquake Database,NRCan,Point,Vector (point),Canada,nedb_fetch (guidance),Free/Open,Continuous,"Historical earthquakes in Canada"
Canada,CA,Seismic Hazard Canada,NRCan,Variable,Raster/Vector,Canada,seismic_hazard_canada_fetch (guidance),Free/Open,Updated periodically,"Official seismic hazard maps"
Canada,CA,Canadian Soil Information Service,Agriculture Canada,Variable,Raster/Vector,Canada,cansis_fetch (guidance),Free/Open,Continuous,"National soil database"
Canada,CA,Landslide Inventory Canada,GSC,Vector,Vector,Canada (partial),gsc_landslides_fetch (guidance),Free/Open,Varies,"Geological Survey of Canada landslide data"
Europe,EU,European Seismic Hazard Model 2020,EFEHR,10000,Raster,Europe,eshm20_fetch (guidance),Free/Open,Static (2020),"Peak ground acceleration for Europe"
Europe,EU,European Fault Database,EFEHR,Vector,Vector,Europe,efd_fetch (guidance),Free/Open,Continuous,"Active faults in Europe"
Europe,EU,European Landslide Susceptibility Map,JRC,250,Raster,Europe,elsus_fetch (guidance),Free/Open,Static (2020),"Pan-European landslide susceptibility"
Europe,EU,Soil Atlas of Europe,JRC,1000000,Raster/Vector,Europe,soil_atlas_europe_fetch (guidance),Free/Open,Static,"Soil types and properties (1:1M scale)"
Europe,EU,European Soil Database,ESDAC,1000,Raster/Vector,Europe,esdb_fetch (guidance),Free/Open,Static,"Comprehensive soil information"
France,FR,French Seismic Zonation,BRGM,Vector,Vector,France,brgm_seismic_fetch (guidance),Free/Open,Static,"Official seismic zones"
France,FR,BD MVTF (Fault Database),BRGM,Vector,Vector,France,mvtf_fetch (guidance),Free/Open,Continuous,"French fault database"
France,FR,BDSol Soil Database,INRAE,Variable,Vector,France,bdsol_fetch (guidance),Free/Open,Continuous,"French soil reference database"
Germany,DE,German Seismic Hazard Map,GFZ,Variable,Raster,Germany,gfz_seismic_fetch (guidance),Free/Open,Static,"Official German seismic hazard"
