Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
GLOBAL,GL,OpenStreetMap Roads,OSM Community,Variable,Vector,Global,osm_roads_fetch,ODbL,Continuous,"All road types with classification and attributes"
GLOBAL,GL,OpenStreetMap Railways,OSM Community,Variable,Vector,Global,osm_railways_fetch,ODbL,Continuous,"Rail lines with type, gauge, electrification"
GLOBAL,GL,OpenStreetMap Power Lines,OSM Community,Variable,Vector,Global,osm_power_fetch,ODbL,Continuous,"Transmission lines with voltage, towers"
GLOBAL,GL,SciGRID Gas Pipelines Europe,TU Berlin,Vector,Vector,Europe,scigrid_gas_pipelines_fetch,Open,Static (2016),"European gas transmission network"
GLOBAL,GL,Global Power Plant Database,WRI,Vector (point),Vector,Global,global_power_plants_fetch (guidance),Free/Open,Annual,"34000+ power plants with capacity and fuel"
GLOBAL,GL,GridFinder Global Transmission,Facebook/WRI,Variable,Vector,Global,gridfinder_fetch (guidance),Free/Open,Static (2019),"ML-derived transmission lines from night lights"
GLOBAL,GL,OpenInfraMap Power Grid,OpenInfraMap,Variable,Vector,Global (OSM-derived),openinframap_fetch (guidance),ODbL,Continuous,"Visualization of OSM power infrastructure"
USA,US,HIFLD Infrastructure,DHS,Vector,Vector,USA,hifld_fetch (guidance),Public Domain,Annual,"Comprehensive US infrastructure: roads, rail, pipelines, power"
USA,US,EIA Natural Gas Pipelines,EIA,Vector,Vector,USA,eia_gas_pipelines_fetch (guidance),Public Domain,Annual,"Interstate and intrastate gas transmission"
USA,US,EIA Crude Oil Pipelines,EIA,Vector,Vector,USA,eia_oil_pipelines_fetch (guidance),Public Domain,Annual,"Crude oil transmission pipelines"
USA,US,EIA Petroleum Product Pipelines,EIA,Vector,Vector,USA,eia_petroleum_pipelines_fetch (guidance),Public Domain,Annual,"Refined product pipelines"
USA,US,NPMS Pipeline Data,PHMSA,Vector,Vector,USA,npms_fetch (guidance),Public Domain,Continuous,"National Pipeline Mapping System, hazardous liquid & gas"
USA,US,TIGER/Line Roads,US Census,Vector,Vector,USA,tiger_roads_fetch (guidance),Public Domain,Annual,"All US roads with attributes"
USA,US,FRA National Rail Network,FRA,Vector,Vector,USA,fra_rail_fetch (guidance),Public Domain,Annual,"Federal Railroad Administration rail lines"
USA,US,HIFLD Electric Power Transmission,HIFLD,Vector,Vector,USA,hifld_power_fetch (guidance),Public Domain,Annual,"High voltage transmission lines"
USA,US,HIFLD Substations,HIFLD,Vector (point),Vector,USA,hifld_substations_fetch (guidance),Public Domain,Annual,"Electrical substations"
Canada,CA,National Road Network,NRCan,Vector,Vector,Canada,nrn_canada_fetch (guidance),Free/Open,Annual,"All Canadian roads with classification"
Canada,CA,National Railway Network,NRCan,Vector,Vector,Canada,railway_canada_fetch (guidance),Free/Open,Varies,"Canadian rail network"
Canada,CA,CER Pipeline Data,CER,Vector,Vector,Canada,cer_pipelines_fetch (guidance),Free/Open,Annual,"Canadian Energy Regulator federally regulated pipelines"
Canada,CA,CanVec Transport Features,NRCan,Vector,Vector,Canada,canvec_transport_fetch (guidance),Free/Open,Annual,"Roads, rail from National Topographic Database"
