Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
GLOBAL,GL,Sentinel-2 L2A,ESA/Copernicus,10/20/60,Raster (multispectral),Global,sentinel2_fetch,Free/Open,Every 5 days,"13 bands, best free optical imagery, 10m RGB+NIR"
GLOBAL,GL,Sentinel-2 L1C,ESA/Copernicus,10/20/60,Raster (multispectral),Global,sentinel2_fetch,Free/Open,Every 5 days,"Top-of-atmosphere reflectance"
GLOBAL,GL,Landsat 9 OLI,USGS/NASA,30 (15m pan),Raster (multispectral),Global,landsat_fetch (guidance),Public Domain,Every 16 days,"11 bands, launched 2021"
GLOBAL,GL,Landsat 8 OLI,USGS/NASA,30 (15m pan),Raster (multispectral),Global,landsat_fetch (guidance),Public Domain,Every 16 days,"11 bands, operational thermal"
GLOBAL,GL,Landsat 7 ETM+,USGS/NASA,30 (15m pan),Raster (multispectral),Global,landsat_fetch (guidance),Public Domain,Every 16 days,"8 bands, scan line corrector failure"
GLOBAL,GL,Landsat 4-5 TM,USGS/NASA,30,Raster (multispectral),Global,landsat_fetch (guidance),Public Domain,Historical (1982-2013),"7 bands, archive"
GLOBAL,GL,MODIS Terra/Aqua,NASA,250/500/1000,Raster (multispectral),Global,modis_fetch (guidance),Public Domain,Daily,"36 bands, moderate resolution, good temporal"
GLOBAL,GL,Planet Dove (SkySat),Planet Labs,3-5,Raster (multispectral),Global,planet_fetch (guidance),Commercial,Daily,"150+ satellites, commercial subscription required"
GLOBAL,GL,Maxar WorldView-2,Maxar,0.5 (0.3m pan),Raster (multispectral),On-demand,maxar_fetch (guidance),Commercial,On-demand tasking,"8 bands, very high resolution"
GLOBAL,GL,Maxar WorldView-3,Maxar,0.3 (0.3m pan),Raster (multispectral),On-demand,maxar_fetch (guidance),Commercial,On-demand tasking,"16 bands including SWIR"
GLOBAL,GL,Airbus Pleiades Neo,Airbus,0.3 (0.3m pan),Raster (multispectral),On-demand,airbus_fetch (guidance),Commercial,On-demand tasking,"6 bands, constellation of 4"
GLOBAL,GL,Airbus SPOT 6/7,Airbus,1.5 (0.5m pan),Raster (multispectral),Global,airbus_fetch (guidance),Commercial,Daily revisit,"4 bands"
GLOBAL,GL,Sentinel-1 SAR,ESA/Copernicus,10,Raster (SAR),Global,sentinel1_fetch (guidance),Free/Open,Every 6-12 days,"C-band radar, all-weather, interferometry"
GLOBAL,GL,ALOS-2 PALSAR-2,JAXA,3-10,Raster (SAR),Global,alos_fetch (guidance),Free for research,Every 14 days,"L-band SAR, good for vegetation"
GLOBAL,GL,ICEYE SAR,ICEYE,1,Raster (SAR),On-demand,iceye_fetch (guidance),Commercial,On-demand,"Constellation, very high resolution"
GLOBAL,GL,Capella SAR,Capella Space,0.5,Raster (SAR),On-demand,capella_fetch (guidance),Commercial,On-demand,"X-band SAR, highest resolution commercial"
GLOBAL,GL,Copernicus DEM,ESA/Copernicus,30/90,Raster (DEM),Global,copernicus_dem_fetch (guidance),Free/Open,Static (2011-2015),"From TanDEM-X SAR interferometry"
USA,US,NAIP Aerial Imagery,USDA,0.6-1,Raster (RGB/RGBN),USA (CONUS),naip_fetch (guidance),Public Domain,Every 2-3 years,"National Agriculture Imagery Program, growing season"
USA,US,Sentinel-2 USA,ESA,10/20,Raster,USA (use global),sentinel2_fetch,Free/Open,Every 5 days,"Best free option for USA"
USA,US,Landsat USA,USGS,30,Raster,USA (use global),landsat_fetch (guidance),Public Domain,Every 8 days (L8+L9 combined),"Combined 8-day revisit with dual satellites"
Canada,CA,Sentinel-2 Canada,ESA,10/20,Raster,Canada (use global),sentinel2_fetch,Free/Open,Every 5 days,"Best free option for Canada"
