Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
GLOBAL,GL,WorldPop Population Density,WorldPop/University of Southampton,100,Raster,Global,worldpop_fetch,CC-BY 4.0,Annual,"Population count and density, age/sex disaggregated"
GLOBAL,GL,Global Human Settlement Layer (GHSL),JRC,100/250/1000,Raster,Global,ghsl_fetch (guidance),Free/Open,Every 6 years (epochs),"Built-up area, population, settlement model"
GLOBAL,GL,GPWv4 Population,SEDAC/NASA,1000,Raster,Global,gpw_fetch (guidance),Free/Open,Every 5 years,"Gridded Population of the World"
GLOBAL,GL,LandScan Global Population,ORNL,1000,Raster,Global,landscan_fetch (guidance),Restricted (US Govt),Annual,"Ambient population distribution, requires approval"
GLOBAL,GL,Facebook High Resolution Population,Meta/CIESIN,30,Raster,Global (most countries),hrsl_facebook_fetch (guidance),CC-BY,Static (2019),"High Resolution Settlement Layer from satellite imagery"
GLOBAL,GL,OpenStreetMap Buildings,OSM,Vector,Vector,Global,osm_buildings_fetch (guidance),ODbL,Continuous,"Building footprints globally"
GLOBAL,GL,Microsoft Building Footprints,Microsoft,Vector,Vector,Global (increasing coverage),microsoft_buildings_fetch (guidance),ODbL,Static snapshots,"ML-derived building footprints"
GLOBAL,GL,Google Open Buildings,Google,Vector,Vector,Global (64M+ buildings),google_buildings_fetch (guidance),CC-BY 4.0,Static (2022),"ML-derived building footprints, Africa, Latin America, S/SE Asia"
USA,US,Census Population Data,US Census,Block/Tract,Vector/Raster,USA,census_population_fetch (guidance),Public Domain,Decennial + ACS annual,"Detailed demographics by census geography"
USA,US,American Community Survey (ACS),US Census,Block Group/Tract,Vector,USA,acs_fetch (guidance),Public Domain,Annual (5-year estimates),"Socioeconomic characteristics: income, education, employment"
USA,US,Microsoft US Building Footprints,Microsoft,Vector,Vector,USA,microsoft_buildings_us_fetch (guidance),ODbL,Static (2023),"130M+ building footprints"
USA,US,USGS Structures,USGS,Point,Vector,USA,usgs_structures_fetch (guidance),Public Domain,Continuous,"Buildings and structures from USGS topographic maps"
Canada,CA,Census Population,Statistics Canada,Dissemination Area,Vector,Canada,statcan_population_fetch (guidance),Free/Open,Every 5 years,"Population and demographics"
Canada,CA,Canadian Building Footprints,Statistics Canada/Microsoft,Vector,Vector,Canada,canada_buildings_fetch (guidance),Open,Static,"Extracted from various sources"
Europe,EU,GEOSTAT Population Grid,Eurostat,1000,Raster/Vector,EU27,geostat_fetch (guidance),Free/Open,Every 10 years (census years),"1km² population grid for Europe"
Europe,EU,Urban Atlas Population,Copernicus,100,Raster,EU cities,urban_atlas_population_fetch (guidance),Free/Open,Every 6 years,"Urban population density"
Europe,EU,Copernicus Imperviousness Density,Copernicus,10/100,Raster,Europe,imperviousness_fetch (guidance),Free/Open,Every 3 years,"Sealed surface percentage, proxy for development"
France,FR,INSEE Population Data,INSEE,Commune/IRIS,Vector,France,insee_population_fetch (guidance),Free/Open,Annual,"Detailed French population statistics"
France,FR,BD TOPO Buildings,IGN,Vector,Vector,France,bdtopo_buildings_fetch (guidance),Free/Open,Continuous,"High-detail building footprints"
France,FR,Filosofi Income Data,INSEE,IRIS (sub-commune),Vector,France,filosofi_fetch (guidance),Free/Open,Annual,"Income and poverty indicators"
Germany,DE,Census 2011 Population,Destatis,100,Raster,Germany,census_germany_fetch (guidance),Free/Open,Static (2011),"100m population grid"
Germany,DE,ATKIS Buildings,BKG,Vector,Vector,Germany,atkis_buildings_fetch (guidance),Free/Open,Continuous,"Official German building footprints"
Germany,DE,Microcensus Data,Destatis,District level,Vector,Germany,microcensus_fetch (guidance),Free/Open,Annual,"Socioeconomic sample survey"
Italy,IT,ISTAT Census Data,ISTAT,Census Section,Vector,Italy,istat_census_fetch (guidance),Free/Open,Decennial,"Italian population census"
